USERINPUT,Action,Details
NA,Water Quality Program,"Design long-term water monitoring program to leverage past work and attempt to quantify upstream water quality impacts via tools such as [CABIN](https://www.canada.ca/en/environment-climate-change/services/canadian-aquatic-biomonitoring-network/resources.html) sampling program [@canada2008CanadianAquatic], 5 sample in 30 day water quality sampling during both high and low flow periods [@wlrs2024BritishColumbia; @moe2024BritishColumbia], continuation/expansion of [temperature monitoring](https://public.tableau.com/app/profile/skeena.knowledge.trust/viz/UBRWaterTemperatureMonitoringDashboardDraft/UBRWaterTemp_Dashboard) [@skeenaknowledgetrustUBRWater, @westcott2022UpperBulkleya], quantify amounts of water withdrawn by licensees in the upper Bulkley catchment during the April to September low flow period, etc. Importantly, careful consideration of how to implement water quality program recommendations from @price2014UpperBulkleya, @oliver2020Analysis2017 and @westcott2022UpperBulkleya during this process is also recommended."
NA,Adapt Range Use to Reduce Aquatic Impacts,"Range use plans for areas overlapping high-value fish habitat need to be reviewed and revised to ensure they are well monitored, and their effectiveness can be openly documented. Incentivize and help coordinate range tenure practice improvements (off-site watering, rotational field use, riparian exclusion, monitoring, range use plan updates that reduce cattle load, range stewardship planning that includes 'red' zones for cattle exclusion, etc.) to reduce cattle impacts on riparian and water quality values. Cattle waste loading to tributary and mainstem habitats is of paramount concern as water quality degradation due to high biological oxygen demand related to nutrient loading will undermine the ability of aquatic life to recover from cumulative impacts in the watershed."
NA,Education Program Expansion,Leverage and expand existing education programs for youth related to watershed health and cultural/ecosystem significance of fish/riparian/wildlife values to provide outreach for all school-aged and post-secondary students in the greater Skeena region.
NA,Seed Collection Program,"Work with organizations such as the Woodmere Nursery, Skeena-based 'Seed the North', knowledge holders, and others to develop a local seed collection and propagation program to increase capacity for floodplain revegetation that can be scaled up to meet the challenges faced by historic removal of these native vegetation communities."
NA,Streambank Armoring Best Practices,"In our recent field assessments, we observed that the protection of road and rail infrastructure through streambank armoring is not adequately incorporating best practices for vegetating riprap, soft armoring where possible and establishing/restoring effective riparian buffers. This oversight can significantly impact watershed health and biodiversity. To address this issue, we recommend collaborating with relevant stakeholders to advocate for the documentation, evolution, and dissemination of best practices related to streambank armoring."
NA,Quantify and Promote Beaver Activity,"Working with watershed users—including industrial players like railways and highways, as well as landowners and range tenure holders—is essential for promoting water retention through beaver activity. The Beaver Restoration Assessment Tool (BRAT) can guide efforts by identifying areas where beaver activity can optimize water retention and flow regulation. Beavers are natural ecosystem engineers; their dams slow water flow, enhance groundwater recharge, and reduce flood risks, while also improving water quality by trapping sediments and filtering pollutants. Providing incentives to landowners and tenure holders to support water retention on the landscape can help catalyze beaver-influenced wetlands throughout the watershed, addressing potential land use conflicts while aligning ecological goals with economic interests.  Encourage reporting of number of beavers trapped and killed by the railway, highways, trappers and landowners."
NA,Data Management Workflows,"Continue to develop and document data management workflows to leverage existing established data storage systems to retrieve data from and load to and build capacity for all interested to do the same. Established data storage systems include the [BC Data Catalogue](https://catalogue.data.gov.bc.ca/), the [Skeena Salmon Data Centre](https://data.skeenasalmon.info/), [NuSEDS-New Salmon Escapement Database System](https://open.canada.ca/data/en/dataset/c48669a3-045b-400d-b730-48aafe8c5ee6) and [bcfishpass](https://github.com/smnorris/bcfishpass/tree/main/data)."
NA,Watershed Drainage Analysis,"Link historic and potential future sites to the freshwater atlas using the linear feature ID of stream segments and conduct watershed drainage area analysis for individual stream segments (or portions of stream segments) so that this area can be tied to other GIS and user input parameters. Functions kept in [fwapg](https://github.com/smnorris/fwapg), [fwapgr](https://github.com/poissonconsulting/fwapgr), [fwatlasbc](https://github.com/poissonconsulting/fwatlasbc) and custom functions developed for this project can be used. Results from this can be compared to other methods for determining project setbacks from the high water mark such as the [Riparian Areas Protection Regulation](https://www2.gov.bc.ca/gov/content/environment/plants-animals-ecosystems/fish/aquatic-habitat-management/riparian-areas-regulation) and the [Riparian Management Area Guidebook](https://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/silviculture/silvicultural-systems/silviculture-guidebooks/riparian-management-area-guidebook) [@ministryofforestsRiparianmanagement]."
NA,Historic Fisheries Mapping,Spatially represent historic fisheries sites so the option is available that potential areas of restoration can be ranked according to their proximity to these sites.
NA,High Fisheries Value Areas,"Spatially delineate areas of high fisheries values based on known spawning and rearing habitat for fish species of interest. Where data gaps exist, develop study plans to understand where this high-value habitat is and quantify its value for fish species of interest through standardized methodologies such as Fish and Fish Habitat Assessment Procedures [@johnston_slaney1996FishHabitat]. For known spawning and rearing locations, load reviewed data into `bcfishpass` using the `user_habitat_classification.csv` file located [here](https://github.com/smnorris/bcfishpass/blob/main/data/user_habitat_classification.csv) so it can be pulled into the collaborative GIS project and queried to facilitate priority ranking of areas of high fisheries values."
